name,rating,price,link
"dell inspiron 3535, windows 11 home, amd ryzen 3 7320u processor, (8gb ram/512gb ssd/window 11/ms office' 21/15.6""(39.62 cm) fhd display/15 month mcafee/carbon black/1.67kg thin & light laptop",4,29990,/Dell-Inspiron-3535-Windows-Processor/dp/B0DG5CY2Y2/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-11&xpid=33P0v7PZbFYE1
"(refurbished) acer travelmate p249 7th gen intel core i3 thin & light hd laptop (8 gb ram|500 gb hdd|14"" (35.6 cm) hd|windows 11|ms office|wifi|bluetooth|webcam|intel graphics)",0,0,/Refurbished-Acer-Travelmate-Bluetooth-Graphics/dp/B0DV5KM21S/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-12&xpid=33P0v7PZbFYE1
"hp 15s, 12th gen intel core i3-1215u, 8gb ddr4, 512gb ssd, (win 11, office 21, silver, 1.69kg) anti-glare, micro-edge, 15.6-inch(39.6cm) fhd laptop, intel uhd graphics, hd camera, backlit kb, fq5327tu",4,37374,/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-13&xpid=33P0v7PZbFYE1
"asus vivobook 15 (2022), intel®coreTM i3-1215u 12th gen, 15.6"" (39.62 cm) fhd, thin and light laptop (8gb/512 ssd//windows 11/office 2021/backlit kb/cool silver/1.7 kg), x1504za-nj322ws",4.4,32875,/ASUS-Vivobook-Intel%C2%AECoreTM-i3-1215U-15-6-inch/dp/B0CCKPTMYX/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-14&xpid=33P0v7PZbFYE1
"(refurbished) hp elitebook 820 g4 7th gen intel core i5 thin & light hd laptop (8 gb ddr4 ram|256 gb ssd|12.5"" (31.8 cm) hd|windows 11|ms office|wifi|webcam|intel hd graphics)",3.9,17499,/Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DKT4SRBV/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-15&xpid=33P0v7PZbFYE1
"asus vivobook 15, 15.6"" fhd (1920 x 1080), intel core i3-1215u processor 1.2 ghz, thin & light laptop(16gb ram/512gb ssd/integrated graphics/windows 11/office home/cool silver/1.7 kg), x1504za-nj342ws",4,37990,/ASUS-Vivobook-Processor-Integrated-X1504ZA-NJ342WS/dp/B09KBC64HS/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-16&xpid=33P0v7PZbFYE1
"asus tuf gaming a15, amd ryzen 7 7435hs, 15.6-inch, fhd 144hz, gaming laptop (16gb ram/512gb ssd/nvidia geforce rtx 3050/windows 11/48whr/graphite black/2.3 kg), fa506ncr-hn054w",4,60990,/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_33?dib=eyJ2IjoiMSJ9.TIJf1YoXsTCcegc4DFC-O6uC0bAXlMTgMx_JrJ3QWZVu1ruUeGngaD5HO3SqcsazgrgLk9QIPQFvnxj-euxWIlm_FCfhIrpkPDWQOG2c09JbR0xjPUbXGl43DPUdYHN_qnioM_2kDHpXv_W8TvHylSol64hSpb2V7Iy5cr3bQkvI83mvt7CYg3sYX_4mtY8Vp5vr4_zYhTnhDCBg46QTIzzdVnF9tuas1XKvhdJU6xc.v8OHEWP4NzwWL6VBvXa1q8_SG4uYe-e64MTd0mUQ1oA&dib_tag=se&keywords=laptop&qid=1738436339&sr=8-33&xpid=33P0v7PZbFYE1
"walker thin & light laptop,14.1""(4gb ram,128gb ssd)| fhd ips display 1920 * 1080 resolution | celeron processor n4020 (gemini lake)| uhd graphics 600|webcam | windows 11 home | champagne gold",3.6,12990,/Walker-Notebook-Laptop-PC-Model/dp/B0CGX5B5TZ/ref=sr_1_34?dib=eyJ2IjoiMSJ9.TIJf1YoXsTCcegc4DFC-O6uC0bAXlMTgMx_JrJ3QWZVu1ruUeGngaD5HO3SqcsazgrgLk9QIPQFvnxj-euxWIlm_FCfhIrpkPDWQOG2c09JbR0xjPUbXGl43DPUdYHN_qnioM_2kDHpXv_W8TvHylSol64hSpb2V7Iy5cr3bQkvI83mvt7CYg3sYX_4mtY8Vp5vr4_zYhTnhDCBg46QTIzzdVnF9tuas1XKvhdJU6xc.v8OHEWP4NzwWL6VBvXa1q8_SG4uYe-e64MTd0mUQ1oA&dib_tag=se&keywords=laptop&qid=1738436339&sr=8-34&xpid=33P0v7PZbFYE1
"hp 15, 13th gen intel core i3-1315u, 8gb ddr4, 512gb ssd, (win 11, office 21, grey, 1.59kg), anti-glare, micro-edge,15.6-inch(39.6cm), fhd laptop, intel uhd graphics, 1080p fhd camera, fd0006tu",4.1,39990,/HP-i3-1315U-Anti-Glare-Micro-Edge-15-6-inch/dp/B0C3RF3HT3/ref=sr_1_35?dib=eyJ2IjoiMSJ9.TIJf1YoXsTCcegc4DFC-O6uC0bAXlMTgMx_JrJ3QWZVu1ruUeGngaD5HO3SqcsazgrgLk9QIPQFvnxj-euxWIlm_FCfhIrpkPDWQOG2c09JbR0xjPUbXGl43DPUdYHN_qnioM_2kDHpXv_W8TvHylSol64hSpb2V7Iy5cr3bQkvI83mvt7CYg3sYX_4mtY8Vp5vr4_zYhTnhDCBg46QTIzzdVnF9tuas1XKvhdJU6xc.v8OHEWP4NzwWL6VBvXa1q8_SG4uYe-e64MTd0mUQ1oA&dib_tag=se&keywords=laptop&qid=1738436339&sr=8-35&xpid=33P0v7PZbFYE1
"acer [smartchoice aspire lite amd ryzen 3 5300u premium thin and light laptop (windows 11 home/8 gb ram/512 gb ssd) al15-41 with 39.62 cm (15.6"") full hd display, metal body, steel gray, 1.6 kg",3.9,29990,/Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_37?dib=eyJ2IjoiMSJ9.TIJf1YoXsTCcegc4DFC-O6uC0bAXlMTgMx_JrJ3QWZVu1ruUeGngaD5HO3SqcsazgrgLk9QIPQFvnxj-euxWIlm_FCfhIrpkPDWQOG2c09JbR0xjPUbXGl43DPUdYHN_qnioM_2kDHpXv_W8TvHylSol64hSpb2V7Iy5cr3bQkvI83mvt7CYg3sYX_4mtY8Vp5vr4_zYhTnhDCBg46QTIzzdVnF9tuas1XKvhdJU6xc.v8OHEWP4NzwWL6VBvXa1q8_SG4uYe-e64MTd0mUQ1oA&dib_tag=se&keywords=laptop&qid=1738436339&sr=8-37&xpid=33P0v7PZbFYE1
